20	Trump speech draft leaks hours in advance By NICK GASS These are the facts Decades of progress made in bringing down crime are now being reversed by this Administrations rollback of criminal enforcement.	4640	Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.	CLEAN_HARD
21	Homicides last year increased by 17% in Americas fifty largest cities.	4640	Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.	CLEAN
22	Thats the largest increase in 25 years.	4640	Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.	CLEAN
29	The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.	4638	The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.	CLEAN
40	2 million more Latinos are in poverty today than when the President took his oath of office less than eight years ago.	4641	Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago.	CLEAN_HARD
47	Our roads and bridges are falling apart, our airports are in Third World condition, and fortythree million Americans are on food stamps.	4637	Fortythree million Americans are on food stamps.	CLEAN
43	Our manufacturing trade deficit has reached an alltime high  nearly $800 billion in a single year.	4630	Our trade deficit in goods reached nearly  $800 billion last year alone.	CLEAN
187	America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.	4634	America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.	CLEAN
187	America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.	4630	Our trade deficit in goods reached nearly  $800 billion last year alone.	CLEAN_HARD
160	Instead, my opponent wants Sanctuary Cities.	4635	Says Hillary Clinton "wants sanctuary cities."	CLEAN
58	In 2009, preHillary, ISIS was not even on the map.	4639	In 2009, preHillary, ISIS was not even on the map.	CLEAN
148	My opponent has called for a radical 550% increase in Syrian refugees on top of existing massive refugee flows coming into our country under President Obama.	4636	Says Hillary Clinton "has called for a radical 550 percent increase in Syrian ... refugees . . . despite the fact that theres no way to screen these refugees in order to find out who they are or where they come from."	CONTEXT_DEPENDENT
149	She proposes this despite the fact that theres no way to screen these refugees in order to find out who they are or where they come from.	4636	Says Hillary Clinton "has called for a radical 550 percent increase in Syrian ... refugees . . . despite the fact that theres no way to screen these refugees in order to find out who they are or where they come from."	CONTEXT_DEPENDENT
205	While Hillary Clinton plans a massive tax increase, I have proposed the largest tax reduction of any candidate who has declared for the presidential race this year  Democrat or Republican.	4633	While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.	CLEAN
206	Middleincome Americans will experience profound relief, and taxes will be simplified for everyone.	4633	While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.	CLEAN
207	America is one of the highesttaxed nations in the world.	4993	We're the highest taxed nation in the world.	CLEAN
207	America is one of the highesttaxed nations in the world.	4628	America is one of the highesttaxed nations in the world.	CLEAN
230	My opponent wants to essentially abolish the 2nd amendment.	4632	Says Hillary Clinton "wants to essentially abolish the Second Amendment."	CLEAN
42	Household incomes are down more than $4,000 since the year 2000.	4629	Household incomes are down more than $4,000 since the year 2000.	CLEAN
234	An amendment, pushed by Lyndon Johnson, many years ago, threatens religious institutions with a loss of their taxexempt status if they openly advocate their political views.	4627	An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their taxexempt status if they openly advocate their political views.	CLEAN
28	Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.	4626	Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.	CLEAN
