73	Classified material has a header which says top secret, secret, confidential. Nothing  and I will repeat this, and this is verified in the report by the Department of Justice  none of the emails sent or received by me had such a header.	4359	Classified material has a header which says topsecret, secret, confidential. Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.	CLEAN
165	Hes on record extensively supporting intervention in Libya, when Gadhafi was threatening to massacre his population.	4358	Says Donald Trump is "on record extensively supporting (the) intervention in Libya."	CLEAN
221	And I do think there is an agenda out there, supported by my opponent, to do just that.	4360	Says Donald Trump supports "an agenda out there" to privatize the Veterans Affairshealth care system.	CONTEXT_DEPENDENT
240	The population of veterans has a rate of suicide far above the general population.	4698	A shocking 20 veterans are committing suicide each and every day, especially our older veterans.	CONTEXT_DEPENDENT
241	Twenty  twenty suicides a day.	4698	A shocking 20 veterans are committing suicide each and every day, especially our older veterans.	CONTEXT_DEPENDENT
358	I was totally against the war in Iraq.	4362	I was totally against the war in Iraq.	CLEAN
378	I was able to get more votes than anybody ever has gotten in the history of Republican politics.	4718	We got the highest vote count in the history of the Republican Party.	CLEAN
439	And really, ISIS was formed.	4495	Says Barack Obama "founded ISIS. I would say the cofounder would be crooked Hillary Clinton."	CONTEXT_DEPENDENT
545	I think its very sad, when you look at Barack Obama, as an example, lands Air Force One in China, and they dont want to put out stairs to get off the plane.	5036	When President Obama landed in Cuba on Air Force One, no leader was there, nobody, to greet him  perhaps an incident without precedent in the long and prestigious history of Air Force One.	CLEAN_HARD
564	Well, he does have an 82 percent approval rating, according to the different pollsters, who, by the way, some of them are based right here.	5598	Says American polling shows Russian President Vladimir Putin has "an 80 percent approval rating."	CLEAN
571	Well, I think when he calls me brilliant, Ill take the compliment, OK?	4355	Says Russian President Vladimir Putin "calls me brilliant."	CLEAN
611	And by the way, Hillary Clinton six months ago said the vets are being treated essentially just fine, theres no real problem, its overexaggerated.	4361	Says Hillary Clinton said the Veterans Affairs scandal is "overexaggerated." "She said she was satisfied with what was going on."	CLEAN
