75	And as a candidate, he started his campaign with a speech where he called Mexicans rapists and criminals, and he has pursued the discredited and really outrageous lie that President Obama wasn't born in the United States.	4309	I finished the controversyabout wherePresident Barack Obama was born.	CLEAN
50	We've seen an economy stifled by more taxes, more regulation, a war on coal, and a failing health care reform come to be known as Obamacare, and the American people know that we need to make a change.	4469	The Obama administration has been "raising taxes."	CLEAN_HARD
97	These guys have praised Vladimir Putin as a great leader.	4355	Says Russian President Vladimir Putin "calls me brilliant."	CLEAN
153	And Iraq has been overrun by ISIS, because Hillary Clinton failed to renegotiate...	4212	Says "Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement."	CLEAN
117	She had a Clinton Foundation accepting contributions from foreign governments.	6683	The Clintons' foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.	CLEAN
179	I think the fact that  that under this past administration was of which Hillary Clinton was a part, we've almost doubled the national debt is atrocious.	4506	Says that under the Obama administration, "the debt has nearly doubled."	CLEAN
184	He actually  he actually tried to raise taxes by about $4 billion.	4214	Says Tim Kaine "actually tried to raise taxes by about $4 billion."	CLEAN
192	They want to expand it into a singlepayer program.	4206	Says Hillary Clinton and Tim Kaine "want to expand (Obamacare) into a singlepayer program."	CONTEXT_DEPENDENT
215	First, Donald Trump said wages are too high.	4215	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.	CLEAN
216	And both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.	4215	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.	CLEAN
234	I mean, the truth of the matter is, the policies of this administration, which Hillary Clinton and Senator Kaine want to continue, have run this economy into a ditch.	4211	Says that during President Barack Obamas tenure, the United States has created "15 million new jobs."	CLEAN_HARD
236	Fifteen million new jobs?	4211	Says that during President Barack Obamas tenure, the United States has created "15 million new jobs."	CONTEXT_DEPENDENT
305	Richard Nixon released tax returns when he was under audit.	4208	Richard Nixon released tax returns when he was under audit.	CLEAN
326	Donald Trump wrote a book and he said Social Security is a Ponzi scheme and privatization would be good for all of us.	4207	Donald Trump would "engage in a risky scheme to privatize Social Security."	CLEAN_HARD
437	But he had been stopped by police 40 or 50 times before that fatal incident.	4204	Says Philando Castile "had been stopped by police 40 or 50 times before that fatal incident."	CLEAN
438	And if you look at sentencing in this country, AfricanAmericans and Latinos get sentenced for the same crimes at very different rates.	5357	AfricanAmericans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.	CONTEXT_DEPENDENT
497	Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving  that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.	4789	Says HillaryClintons immigration platform would "create totally open borders."	CLEAN_HARD
497	Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving  that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.	4374	Says "Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget."	CLEAN_HARD
497	Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving  that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.	4635	Says Hillary Clinton "wants sanctuary cities."	CLEAN_HARD
639	He trash talks the military.	4565	Says Donald Trump "claimed our armed forces are 'a disaster.'"	CLEAN_HARD
639	He trash talks the military.	6179	Four times, I said, he (John McCain)is a hero, but you know ... people choose selective pieces.	CLEAN_HARD
640	The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.	4565	Says Donald Trump "claimed our armed forces are 'a disaster.'"	CLEAN
640	The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.	6179	Four times, I said, he (John McCain)is a hero, but you know ... people choose selective pieces.	CLEAN
965	More nations should get nuclear weapons.	4205	Says Donald Trump "never said that" more nations should get nuclear weapons.	PART_OF
968	Well, he never said that, Senator.	4205	Says Donald Trump "never said that" more nations should get nuclear weapons.	PART_OF
682	You didn't stop the nuclear weapons program.	4566	We put a lid on Iran's nuclear program without firing a single shot.	CLEAN_HARD
694	Hillary Clinton and Tim Kaine want to increase the Syrian refugee program by 500...	4372	Says Hillary Clinton "wants to increase Syrian refugees to this country by 550 percent."	CLEAN
737	Elaine, the director of the FBI, our homeland security, said we can't know for certain who these people are coming from Syria.	4844	There is "no system to vet" refugees from the Middle East.	CLEAN_HARD
1039	we delivered $400 million in cash as a ransom payment for Americans held by the radical mullahs in Tehran.	4430	The Obama administration gave Iran "$400 million in ransom payment cash."	CLEAN_HARD
1134	It provides AIDS drugs to about 11.5 million people.	4831	Nine million people have lowercost HIVAIDS medicine because of the work of the Clinton Foundation and my husband.	CLEAN_HARD
1163	Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.	4424	The fact is the Clinton Foundation has "got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should."	CLEAN_HARD
1163	Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.	4369	The Clinton Foundation gives less than 10(percent in direct aid). In 2013, they raised 140 million bucks, gave $9 million to people in direct aid.	CLEAN
1163	Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.	6467	Eightyfive percent of every dollar donated to the Clinton Foundation ended up either with the Clintons or with their staff to pay for travel, salaries, and benefits. Fifteen cents of every dollar actually went to some charitable beneficiary.	CLEAN_HARD
1163	Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.	4210	10 cents on thedollar from the Clinton Foundation goes to charitable causes.	CLEAN
1162	A $20,000 portrait of Donald Trump?	4333	Says Donald Trump'sfoundation "took money other people gave to his charity and then bought a sixfoottall painting of himself."	CONTEXT_DEPENDENT
1259	And that is the fundamental difference between a ClintonKaine ticket and a Trump Pence ticket that wants to punish women who make that choice.	4601	Says Donald Trump "said a woman should be punished for exercising her right to choose."	CLEAN
1325	She worked across the aisle when she was first lady to get the CHIP program passed so that 8 million lowincome kids have health insurance in this country, including 150,000 in Indiana.	5397	Says Hillary Clinton won"health care for 8 million children."	CLEAN
